,Solo EVs,Cambio solo EVs,EVs + Dwe,Cambio EVs + Dwe
caso lento,--,1.2131999999999845,--,1.9895370999999848
inicio,36.795252225520095,1.6595999999999886,14.004709939815195,2.2681659999999937
medio,23.14540059347278,1.4939999999999927,15.4190590363964,2.2963049999999914
final,39.762611275965156,1.6955999999999876,13.227122027531276,2.25269559999999
