Demanda
14.4
19.2
2.4
27
15
9.6
21.6
12
24
29.4
28.8
28.8
14.4
26.4
4.8
12
9.6
19.2
9.6
16.8
7.2
46.2
26.4
26.4
21.6
7.2
27
4.8
9.6
14.4
22.2
16.8
21.6
16.8
24
26.4
19.8
21.6
15
14.4
22.2
9.6
26.4
40.8
10.2
21.6
33.6
9.6
16.8
14.4
24
29.4
24.6
9.6
10.2
12
12.6
7.2
15
9.6
21.6
24
19.8
4.8
40.8
12
9.6
18
9.6
21.6
15
28.8
43.2
16.8
7.8
21.6
19.2
22.2
9.6
4.8
17.4
16.8
14.4
24
19.2
24
3
7.2
19.2
19.2
2.4
12
21.6
19.2
17.4
21.6
14.4
9.6
24
24.6
43.8
19.2
14.4
45.6
7.2
16.8
12
29.4
12.6
14.4
24
14.4
14.4
38.4
28.8
16.8
12
7.8
19.2
17.4
36.6
14.4
22.2
7.8
21.6
7.2
21.6
33.6
10.2
9.6
14.4
16.8
17.4
21.6
22.2
4.8
24
19.2
4.8
19.2
41.4
19.2
14.4
45.6
19.2
14.4
28.8
3
4.8
7.2
21.6
45.6
16.8
16.8
7.2
14.4
16.8
21.6
26.4
15
16.8
34.2
12
7.2
9.6
9.6
9.6
17.4
26.4
16.8
24
16.8
19.2
28.8
28.8
14.4
16.8
7.2
2.4
40.8
21.6
16.8
4.8
21.6
29.4
26.4
12.6
43.2
4.8
2.4
24.6
21.6
14.4
4.8
34.2
43.2
3
19.2
14.4
12
4.8
19.2
12
29.4
9.6
5.4
34.8
19.2
31.2
24
34.2
14.4
14.4
12
15
4.8
21.6
9.6
19.8
33.6
9.6
21.6
36
19.2
14.4
12.6
14.4
19.2
14.4
24
4.8
2.4
31.2
45.6
15
19.2
9.6
4.8
24
7.2
7.2
21.6
19.2
14.4
14.4
2.4
4.8
7.8
26.4
12
8.4
2.4
15
21.6
19.8
9.6
9.6
14.4
21.6
27
19.2
14.4
22.2
50.4
12.6
14.4
9.6
17.4
31.2
19.8
21.6
4.8
26.4
31.8
7.8
7.2
14.4
26.4
7.2
2.4
12
16.8
16.8
12
12
9.6
19.2
14.4
7.2
12
21.6
5.4
21.6
15
24.6
14.4
21.6
14.4
28.8
14.4
24.6
9.6
24
9.6
22.2
7.2
12
12
21.6
16.8
4.8
16.8
16.8
14.4
9.6
19.8
16.8
9.6
14.4
4.8
24
21.6
21.6
4.8
17.4
7.2
22.2
15
9.6
22.2
12
21.6
38.4
19.2
36.6
9.6
24.6
16.8
7.2
2.4
21.6
12
14.4
3
16.8
27
9.6
5.4
31.2
28.8
24.6
4.8
9.6
26.4
2.4
16.8
27
12
12
28.8
10.2
19.2
9.6
22.2
24.6
5.4
26.4
9.6
12
2.4
12
12.6
21.6
4.8
12.6
16.8
21.6
2.4
16.8
24
3
16.8
16.8
7.2
10.2
17.4
12
46.2
16.8
26.4
28.8
10.2
19.2
2.4
16.8
19.8
19.8
24
36.6
26.4
19.2
12
9.6
26.4
14.4
4.8
19.2
9.6
24
4.8
19.2
9.6
16.8
7.2
26.4
17.4
19.8
12.6
2.4
2.4
14.4
22.2
31.2
36.6
19.2
19.2
27
9.6
7.2
9.6
21.6
24.6
24.6
3
12
12
4.8
2.4
12
48
19.2
14.4
9.6
21.6
29.4
15
15
15.6
10.2
36
12.6
7.2
14.4
37.2
14.4
12
