Grupo,Tipo,porcentajeRed
100,Lenta,44.45057632179683
100,Rapida,52.50463936246518
300,Lenta,42.146763666984434
300,Rapida,49.267769569388854
500,Lenta,41.68316083074281
500,Rapida,48.97256298919303
