Adopcion,Demanda Agregada Promedio,Carga,Coordinacion
100,207.8346,Lenta,No coordinada
100,252.591,Rápida,No coordinada
100,125.014,Lenta,Coordinada
100,126.2386,Rápida,Coordinada
300,594.5884,Lenta,No coordinada
300,704.265,Rápida,No coordinada
300,367.9454,Lenta,Coordinada
300,368.0375,Rápida,Coordinada
500,977.5023,Lenta,No coordinada
500,1171.551,Rápida,No coordinada
500,613.0486,Lenta,Coordinada
500,612.0437,Rápida,Coordinada
